,Dewhigh,Dewlow,Dewmid,Humidhigh,Humidlow,Humidmid,Phigh,Plow,Pmid,Rain,Thigh,Tlow,Tmid,Vishigh,Vislow,Vismid,Windhigh,Windlow,Windmid,day
0,4.0,-1.0,2.0,100.0,87.0,95.0,1006.0,990.0,995.0,0.0,4.0,1.0,2.0,10.0,0.0,5.0,19.0,,8.0,1.0
1,-1.0,-7.0,-4.0,93.0,52.0,77.0,1022.0,1006.0,1016.0,0.0,2.0,-2.0,0.0,10.0,5.0,10.0,19.0,,11.0,2.0
2,-1.0,-5.0,-3.0,93.0,70.0,82.0,1021.0,1018.0,1020.0,0.0,2.0,-3.0,-1.0,10.0,10.0,10.0,16.0,,11.0,3.0
3,-2.0,-7.0,-6.0,93.0,74.0,80.0,1018.0,1013.0,1016.0,0.0,-1.0,-4.0,-2.0,10.0,6.0,9.0,19.0,,14.0,4.0
4,-5.0,-7.0,-7.0,93.0,69.0,81.0,1013.0,1002.0,1007.0,0.0,-1.0,-5.0,-3.0,10.0,7.0,9.0,14.0,,10.0,5.0
5,-4.0,-6.0,-5.0,93.0,80.0,87.0,1006.0,1001.0,1003.0,0.0,-2.0,-5.0,-3.0,9.0,1.0,6.0,11.0,,6.0,6.0
6,-2.0,-4.0,-3.0,100.0,93.0,94.0,1012.0,1006.0,1008.0,0.0,-1.0,-3.0,-2.0,6.0,1.0,3.0,10.0,,3.0,7.0
7,-3.0,-6.0,-4.0,100.0,80.0,90.0,1012.0,1008.0,1010.0,0.0,-2.0,-4.0,-3.0,9.0,1.0,4.0,37.0,50.0,19.0,8.0
8,-4.0,-6.0,-5.0,100.0,86.0,91.0,1010.0,1006.0,1008.0,0.0,-3.0,-5.0,-4.0,10.0,1.0,7.0,26.0,,21.0,9.0
9,-4.0,-5.0,-4.0,100.0,80.0,89.0,1016.0,1008.0,1012.0,0.0,-1.0,-4.0,-3.0,7.0,1.0,5.0,14.0,,8.0,10.0
10,-3.0,-5.0,-4.0,100.0,86.0,90.0,1018.0,1016.0,1016.0,0.0,-2.0,-3.0,-3.0,8.0,2.0,5.0,10.0,,5.0,11.0
11,-3.0,-11.0,-4.0,100.0,75.0,93.0,1018.0,1006.0,1013.0,0.0,0.0,-11.0,-6.0,6.0,0.0,3.0,10.0,,5.0,12.0
12,-1.0,-9.0,-3.0,100.0,93.0,97.0,1008.0,1005.0,1006.0,0.0,0.0,-9.0,-4.0,3.0,0.0,1.0,10.0,,3.0,13.0
13,0.0,-2.0,-1.0,100.0,93.0,99.0,1012.0,1006.0,1008.0,0.0,1.0,-2.0,-1.0,5.0,0.0,1.0,10.0,,6.0,14.0
14,0.0,-1.0,-1.0,100.0,87.0,93.0,1026.0,1012.0,1021.0,0.0,1.0,0.0,0.0,9.0,3.0,5.0,11.0,,5.0,15.0
15,0.0,-2.0,-1.0,93.0,81.0,90.0,1026.0,1012.0,1020.0,0.0,1.0,0.0,0.0,10.0,4.0,7.0,13.0,,5.0,16.0
16,5.0,1.0,3.0,100.0,70.0,86.0,1025.0,1011.0,1017.0,0.0,7.0,1.0,3.0,10.0,5.0,10.0,27.0,,19.0,17.0
17,4.0,-1.0,2.0,100.0,76.0,92.0,1028.0,1025.0,1026.0,0.0,7.0,-1.0,3.0,10.0,0.0,8.0,13.0,,5.0,18.0
18,0.0,-1.0,-1.0,100.0,93.0,100.0,1026.0,1020.0,1023.0,0.0,0.0,-1.0,-1.0,3.0,0.0,0.0,10.0,,5.0,19.0
19,-1.0,-2.0,-2.0,100.0,93.0,97.0,1020.0,1014.0,1016.0,0.0,0.0,-2.0,-1.0,7.0,2.0,4.0,11.0,,6.0,20.0
20,1.0,-1.0,1.0,100.0,93.0,98.0,1023.0,1017.0,1021.0,0.0,2.0,-1.0,0.0,3.0,0.0,2.0,8.0,,3.0,21.0
21,2.0,1.0,1.0,100.0,93.0,99.0,1025.0,1023.0,1024.0,0.0,2.0,1.0,1.0,4.0,0.0,2.0,11.0,,8.0,22.0
22,0.0,-2.0,-1.0,93.0,75.0,90.0,1025.0,1022.0,1023.0,0.0,2.0,-1.0,0.0,9.0,3.0,5.0,11.0,,8.0,23.0
23,1.0,-2.0,-1.0,100.0,87.0,94.0,1023.0,1022.0,1022.0,0.0,2.0,-1.0,0.0,5.0,1.0,3.0,6.0,,3.0,24.0
24,1.0,-1.0,0.0,100.0,87.0,94.0,1031.0,1023.0,1027.0,0.0,2.0,0.0,1.0,7.0,1.0,4.0,14.0,,6.0,25.0
25,-1.0,-7.0,-3.0,100.0,74.0,89.0,1034.0,1031.0,1032.0,0.0,0.0,-4.0,-2.0,6.0,1.0,4.0,34.0,,14.0,26.0
26,-5.0,-10.0,-8.0,93.0,69.0,82.0,1034.0,1018.0,1028.0,0.0,-2.0,-8.0,-6.0,6.0,4.0,5.0,29.0,,16.0,27.0
27,-1.0,-5.0,-3.0,87.0,75.0,81.0,1017.0,1006.0,1010.0,0.0,2.0,-2.0,0.0,10.0,5.0,9.0,26.0,,14.0,28.0
28,1.0,-1.0,0.0,93.0,87.0,91.0,1005.0,984.0,993.0,0.0,2.0,0.0,1.0,10.0,10.0,10.0,29.0,,16.0,29.0
29,0.0,-5.0,-3.0,100.0,65.0,83.0,1002.0,988.0,995.0,0.0,2.0,-4.0,-1.0,10.0,0.0,10.0,27.0,,14.0,30.0
30,-2.0,-8.0,-4.0,100.0,80.0,89.0,1011.0,1003.0,1007.0,0.0,0.0,-7.0,-3.0,10.0,1.0,8.0,19.0,,11.0,31.0
31,-2.0,-7.0,-4.0,93.0,69.0,80.0,1017.0,1011.0,1013.0,0.0,1.0,-4.0,-2.0,10.0,4.0,10.0,24.0,42.0,18.0,2.0
32,1.0,-5.0,-1.0,93.0,75.0,85.0,1020.0,1009.0,1016.0,0.0,3.0,-2.0,0.0,10.0,10.0,10.0,32.0,,18.0,3.0
33,4.0,1.0,3.0,100.0,76.0,86.0,1016.0,1007.0,1012.0,0.0,7.0,3.0,4.0,10.0,8.0,10.0,39.0,61.0,24.0,4.0
34,4.0,0.0,2.0,100.0,62.0,84.0,1016.0,1010.0,1014.0,0.0,10.0,0.0,5.0,10.0,6.0,10.0,13.0,,6.0,5.0
35,5.0,0.0,3.0,100.0,93.0,95.0,1011.0,1007.0,1008.0,0.0,6.0,0.0,3.0,9.0,1.0,6.0,10.0,,5.0,6.0
36,5.0,0.0,3.0,100.0,87.0,96.0,1017.0,1010.0,1012.0,0.0,6.0,1.0,3.0,8.0,0.0,4.0,11.0,,6.0,7.0
37,3.0,1.0,2.0,100.0,76.0,88.0,1019.0,1015.0,1018.0,0.0,6.0,3.0,4.0,10.0,5.0,8.0,19.0,,13.0,8.0
38,1.0,-4.0,-2.0,93.0,75.0,86.0,1015.0,1004.0,1009.0,0.0,3.0,-2.0,0.0,8.0,4.0,6.0,24.0,,13.0,9.0
39,-2.0,-5.0,-4.0,86.0,75.0,82.0,1005.0,1002.0,1003.0,0.0,1.0,-2.0,-1.0,8.0,5.0,6.0,21.0,,11.0,10.0
40,-5.0,-10.0,-7.0,93.0,59.0,76.0,1009.0,1005.0,1008.0,0.0,-3.0,-5.0,-4.0,9.0,2.0,6.0,19.0,,14.0,11.0
41,-4.0,-8.0,-6.0,93.0,80.0,88.0,1009.0,1006.0,1007.0,0.0,-3.0,-6.0,-4.0,7.0,1.0,3.0,27.0,,18.0,12.0
42,-2.0,-6.0,-4.0,100.0,80.0,90.0,1016.0,1009.0,1013.0,0.0,-1.0,-4.0,-3.0,10.0,1.0,6.0,26.0,,16.0,13.0
43,-4.0,-6.0,-5.0,93.0,75.0,83.0,1016.0,1014.0,1015.0,0.0,-1.0,-4.0,-3.0,10.0,5.0,9.0,19.0,,13.0,14.0
44,-4.0,-5.0,-5.0,100.0,69.0,84.0,1015.0,1012.0,1013.0,0.0,0.0,-4.0,-2.0,9.0,3.0,6.0,8.0,,5.0,15.0
45,-3.0,-5.0,-4.0,100.0,60.0,84.0,1012.0,1006.0,1008.0,0.0,2.0,-4.0,-1.0,10.0,1.0,6.0,10.0,,5.0,16.0
46,-3.0,-10.0,-6.0,100.0,56.0,81.0,1006.0,998.0,1002.0,0.0,3.0,-9.0,-3.0,8.0,4.0,6.0,11.0,,5.0,17.0
47,0.0,-4.0,-2.0,100.0,80.0,89.0,998.0,993.0,995.0,0.0,1.0,-3.0,-1.0,5.0,1.0,2.0,10.0,,5.0,18.0
48,6.0,0.0,2.0,100.0,81.0,94.0,1000.0,994.0,998.0,0.0,8.0,0.0,4.0,10.0,0.0,4.0,13.0,,5.0,19.0
49,4.0,-2.0,1.0,100.0,75.0,93.0,1000.0,993.0,995.0,0.0,5.0,1.0,3.0,10.0,1.0,5.0,14.0,,6.0,20.0
50,2.0,-3.0,-1.0,100.0,75.0,89.0,1004.0,1000.0,1001.0,0.0,5.0,-2.0,1.0,10.0,5.0,9.0,16.0,,6.0,21.0
51,3.0,-1.0,1.0,93.0,66.0,84.0,1004.0,998.0,1002.0,0.0,8.0,1.0,4.0,10.0,6.0,10.0,19.0,,10.0,22.0
52,8.0,1.0,4.0,100.0,67.0,83.0,998.0,992.0,995.0,0.0,13.0,1.0,7.0,10.0,5.0,10.0,23.0,,11.0,23.0
53,8.0,4.0,7.0,93.0,71.0,82.0,999.0,993.0,995.0,0.0,12.0,8.0,10.0,10.0,10.0,10.0,24.0,,18.0,24.0
54,8.0,4.0,6.0,93.0,63.0,81.0,1003.0,999.0,1001.0,0.0,14.0,6.0,10.0,10.0,10.0,10.0,29.0,,16.0,25.0
55,8.0,2.0,5.0,93.0,54.0,75.0,1003.0,995.0,1000.0,0.0,13.0,5.0,9.0,10.0,10.0,10.0,21.0,,14.0,26.0
56,8.0,-1.0,4.0,93.0,58.0,79.0,1007.0,993.0,998.0,0.0,12.0,4.0,8.0,10.0,8.0,10.0,48.0,72.0,21.0,27.0
57,5.0,-1.0,2.0,87.0,38.0,66.0,1009.0,995.0,1004.0,0.0,13.0,2.0,7.0,10.0,10.0,10.0,23.0,,14.0,28.0
58,8.0,-2.0,3.0,93.0,36.0,68.0,1004.0,988.0,994.0,0.0,15.0,6.0,10.0,10.0,10.0,10.0,69.0,101.0,21.0,29.0
59,1.0,-3.0,0.0,81.0,38.0,60.0,1016.0,1005.0,1011.0,0.0,12.0,4.0,8.0,10.0,10.0,10.0,45.0,63.0,21.0,3.0
60,5.0,0.0,3.0,100.0,81.0,90.0,1024.0,1016.0,1020.0,0.0,7.0,0.0,3.0,10.0,0.0,8.0,10.0,,5.0,4.0
61,2.0,-4.0,-1.0,100.0,50.0,77.0,1025.0,1012.0,1018.0,0.0,8.0,-1.0,3.0,10.0,0.0,6.0,35.0,,13.0,5.0
62,-3.0,-7.0,-4.0,75.0,45.0,60.0,1021.0,1011.0,1015.0,0.0,7.0,0.0,3.0,10.0,10.0,10.0,37.0,48.0,24.0,6.0
63,-5.0,-11.0,-8.0,86.0,31.0,57.0,1026.0,1022.0,1024.0,0.0,5.0,-3.0,1.0,10.0,10.0,10.0,19.0,,10.0,7.0
64,0.0,-8.0,-3.0,100.0,56.0,80.0,1025.0,1013.0,1019.0,0.0,3.0,-3.0,0.0,10.0,0.0,9.0,29.0,45.0,19.0,8.0
65,-5.0,-9.0,-8.0,80.0,55.0,66.0,1027.0,1024.0,1026.0,0.0,1.0,-6.0,-3.0,10.0,10.0,10.0,39.0,,27.0,9.0
